,ds,y,ID,yhat1,ar1,trend
1750,2004-02-01 07:00:00,765.77,WEST,773.6965942382812,786.4356689453125,-12.739066123962402
1751,2004-02-01 08:00:00,828.05,WEST,810.3948364257812,823.1339111328125,-12.739066123962402
1752,2004-02-01 09:00:00,849.79,WEST,853.4288940429688,866.16796875,-12.739066123962402
1753,2004-02-01 10:00:00,857.86,WEST,857.6565551757812,870.3956298828125,-12.739066123962402
1754,2004-02-01 11:00:00,847.47,WEST,844.6679077148438,857.406982421875,-12.739066123962402
1755,2004-02-01 12:00:00,826.19,WEST,818.8236083984375,831.5626831054688,-12.739066123962402
1756,2004-02-01 13:00:00,803.65,WEST,809.4107055664062,822.1497802734375,-12.739066123962402
1757,2004-02-01 14:00:00,768.98,WEST,778.9754638671875,791.7145385742188,-12.739066123962402
1758,2004-02-01 15:00:00,749.32,WEST,751.8671875,764.6062622070312,-12.739066123962402
1759,2004-02-01 16:00:00,739.49,WEST,745.5792846679688,758.318359375,-12.739066123962402
1760,2004-02-01 17:00:00,747.27,WEST,729.7354125976562,742.4744873046875,-12.739066123962402
1761,2004-02-01 18:00:00,762.8,WEST,779.2457885742188,791.98486328125,-12.739066123962402
1762,2004-02-01 19:00:00,825.34,WEST,779.6859130859375,792.4249877929688,-12.739066123962402
1763,2004-02-01 20:00:00,844.01,WEST,859.383544921875,872.1226196289062,-12.739066123962402
1764,2004-02-01 21:00:00,852.36,WEST,852.181884765625,864.9209594726562,-12.739066123962402
1765,2004-02-01 22:00:00,845.55,WEST,851.2506103515625,863.9896850585938,-12.739066123962402
1766,2004-02-01 23:00:00,830.64,WEST,813.8137817382812,826.5528564453125,-12.739066123962402
1767,2004-02-02 00:00:00,772.67,WEST,811.1883544921875,823.9274291992188,-12.739066123962402
1768,2004-02-02 01:00:00,726.93,WEST,728.2496948242188,740.98876953125,-12.739066123962402
1769,2004-02-02 02:00:00,726.76,WEST,704.0526733398438,716.791748046875,-12.739066123962402
1770,2004-02-02 03:00:00,745.34,WEST,711.3163452148438,724.055419921875,-12.739066123962402
1771,2004-02-02 04:00:00,771.89,WEST,749.539794921875,762.2788696289062,-12.739066123962402
1772,2004-02-02 05:00:00,812.19,WEST,793.1264038085938,805.865478515625,-12.739066123962402
1773,2004-02-02 06:00:00,901.72,WEST,847.19873046875,859.9378051757812,-12.739066123962402
1774,2004-02-02 07:00:00,1058.95,WEST,965.8226928710938,978.561767578125,-12.739066123962402
1775,2004-02-02 08:00:00,1149.12,WEST,1123.295654296875,1136.03466796875,-12.739066123962402
1776,2004-02-02 09:00:00,1101.44,WEST,1187.0494384765625,1199.7884521484375,-12.739066123962402
1777,2004-02-02 10:00:00,1055.75,WEST,1091.223388671875,1103.96240234375,-12.739066123962402
1778,2004-02-02 11:00:00,1012.42,WEST,1002.2535400390625,1014.9926147460938,-12.739066123962402
1779,2004-02-02 12:00:00,959.24,WEST,964.6663208007812,977.4053955078125,-12.739066123962402
1780,2004-02-02 13:00:00,912.07,WEST,898.37939453125,911.1184692382812,-12.739066123962402
1781,2004-02-02 14:00:00,869.83,WEST,867.1433715820312,879.8824462890625,-12.739066123962402
1782,2004-02-02 15:00:00,831.55,WEST,841.9014892578125,854.6405639648438,-12.739066123962402
1783,2004-02-02 16:00:00,805.26,WEST,808.7998046875,821.5388793945312,-12.739066123962402
