,ds,y,ID,yhat1,ar1,trend
1750,2004-02-01 07:00:00,765.77,WEST,783.6019287109375,801.444091796875,-17.842153549194336
1751,2004-02-01 08:00:00,828.05,WEST,800.4177856445312,818.2599487304688,-17.842153549194336
1752,2004-02-01 09:00:00,849.79,WEST,864.7301635742188,882.5723266601562,-17.842153549194336
1753,2004-02-01 10:00:00,857.86,WEST,855.9708862304688,873.8130493164062,-17.842153549194336
1754,2004-02-01 11:00:00,847.47,WEST,844.53564453125,862.3778076171875,-17.842153549194336
1755,2004-02-01 12:00:00,826.19,WEST,819.6578979492188,837.5000610351562,-17.842153549194336
1756,2004-02-01 13:00:00,803.65,WEST,802.5701904296875,820.412353515625,-17.842153549194336
1757,2004-02-01 14:00:00,768.98,WEST,776.3246459960938,794.1668090820312,-17.842153549194336
1758,2004-02-01 15:00:00,749.32,WEST,740.8501586914062,758.6923217773438,-17.842153549194336
1759,2004-02-01 16:00:00,739.49,WEST,736.48583984375,754.3280029296875,-17.842153549194336
1760,2004-02-01 17:00:00,747.27,WEST,740.1648559570312,758.0070190429688,-17.842153549194336
1761,2004-02-01 18:00:00,762.8,WEST,781.8778686523438,799.7200317382812,-17.842153549194336
1762,2004-02-01 19:00:00,825.34,WEST,782.3826904296875,800.224853515625,-17.842153549194336
1763,2004-02-01 20:00:00,844.01,WEST,871.2396850585938,889.0818481445312,-17.842153549194336
1764,2004-02-01 21:00:00,852.36,WEST,841.6317138671875,859.473876953125,-17.842153549194336
1765,2004-02-01 22:00:00,845.55,WEST,849.28125,867.1234130859375,-17.842153549194336
1766,2004-02-01 23:00:00,830.64,WEST,814.3989868164062,832.2411499023438,-17.842153549194336
1767,2004-02-02 00:00:00,772.67,WEST,804.3890991210938,822.2312622070312,-17.842153549194336
1768,2004-02-02 01:00:00,726.93,WEST,723.93115234375,741.7733154296875,-17.842153549194336
1769,2004-02-02 02:00:00,726.76,WEST,701.313232421875,719.1553955078125,-17.842153549194336
1770,2004-02-02 03:00:00,745.34,WEST,728.4420166015625,746.2841796875,-17.842153549194336
1771,2004-02-02 04:00:00,771.89,WEST,757.01708984375,774.8592529296875,-17.842153549194336
1772,2004-02-02 05:00:00,812.19,WEST,791.17529296875,809.0174560546875,-17.842153549194336
1773,2004-02-02 06:00:00,901.72,WEST,847.5689697265625,865.4111328125,-17.842153549194336
